plant_id_eia,plant_id_epa,plant_id_egrid
59002,302,302
57901,330,330
57068,562,562
7546,762,762
56565,1416,1416
7538,2709,2709
58215,2709,2709
58697,2713,2713
7512,3612,3612
7799,4076,4076
7294,7254,7254
7268,7258,7258
55545,7762,7762
7709,7765,7765
10397,10474,10474
54995,10474,10474
7784,10619,10619
1393,50030,50030
10789,55120,55120
59338,55306,55306
59784,55306,55306
57664,55375,55375
58557,55481,55481
55874,55508,55508
54538,70454,70454
2847,2847,2847
2847,55248,2847
57788,880004,57788
61082,880102,61082
61149,880103,61449
61147,880104,61447
61146,880105,61146
61148,880106,61148
