ba_code,transmission_distribution_owner_name,ba_code_physical
PACW,PacifiCorp,PACW
PACE,PacifiCorp,PACE
AVRN,PacifiCorp,PACW
ERCO,PacifiCorp,PACE
BPAT,PacifiCorp,PACW
WACM,PacifiCorp,PACE
CPLE,Duke Energy Progress - (NC),CPLE
PJM,Duke Energy Progress - (NC),CPLE
DUK,Duke Energy Progress - (NC),CPLE
SEPA,Duke Energy Progress - (NC),CPLE
,Duke Energy Progress - (NC),CPLE
SCEG,Duke Energy Progress - (NC),CPLE
CPLW,Duke Energy Progress - (NC),CPLW
WALC,WAPA-- Western Area Power Administration,WALC
WACM,WAPA-- Western Area Power Administration,WACM
WAUW,WAPA-- Western Area Power Administration,WAUW
PSCO,WAPA-- Western Area Power Administration,WACM
SWPP,WAPA-- Western Area Power Administration,WALC
BANC,WAPA-- Western Area Power Administration,WALC
GRIF,WAPA-- Western Area Power Administration,WALC
MISO,WAPA-- Western Area Power Administration,WAUW
PACE,WAPA-- Western Area Power Administration,WACM
CISO,WAPA-- Western Area Power Administration,WALC
WACM,Western Area Power Administration,WACM
SWPP,Western Area Power Administration,WALC
WALC,Western Area Power Administration - Rock,WACM
