BA,cx,cy
MISO,470,196
ERCO,360,390
NYIS,700,150
ISNE,740,130
BPAT,80,100
SWPP,370,280
LGEE,570,270
PJM,650,230
CISO,60,270
TVA,550,320
SPA,450,306
SOCO,576,376
AEC,536,406
SCEG,640,356
SC,654,340
SEPA,628,340
DUK,634,316
CPLW,612,310
YAD,672,290
CPLE,700,300
OVEC,590,246
AECI,456,256
GLHB,508,284
TAL,576,406
JEA,636,410
GVL,624,424
FPC,636,430
SEC,628,440
FMPP,644,452
TEC,640,464
FPL,660,470
HST,668,492
NSB,652,428
EPE,250,376
PNM,240,336
PSCO,280,270
WACM,270,230
WAUW,256,84
WWA,236,56
GWA,210,70
NWMT,224,106
IPCO,150,140
PACE,204,202
TEPC,176,370
DEAA,136,340
HGMA,124,332
GRIF,128,304
WALC,132,290
AZPS,156,316
SRP,172,344
IID,92,334
LDWP,76,304
TIDC,44,252
BANC,36,204
NEVP,96,210
PACW,56,130
PGE,46,96
AVRN,72,84
GRID,92,88
TPWR,64,72
SCL,62,44
PSEI,80,56
CHPD,90,40
DOPD,100,48
AVA,130,52
GCPD,110,64
BCHA,112,12
CFE,125,425
HQT,695,82
IESO,525,65
NBSO,785,35
AESO,225,25
CEN,285,455
MHEB,385,35
