Plant ID,State,Plant Name
478,CO,Zuni
1594,MA,Blackstone
2440,SC,AbiBow US Inc. - Catawba Operations
2549,NY,Huntley Power
2837,OH,Eastlake
10071,VA,Virginia Renewable Power-Portsmouth LLC
10111,MI,DTE Pontiac North LLC
10381,NC,Coastal Carolina Clean Power LLC
10675,CT,AES Thames
10788,WV,Chemours Belle Plant
50044,OH,The Ohio State University
50151,WV,UCC South Charleston Plant
50202,NY,"Niagara Generation, LLC"
50247,OH,Smart Papers LLC
50607,PA,Veolia Energy Philadelphia - Schuylkill
52106,PA,Philadelphia Refinery
54035,NC,Roanoke Valley Energy Facility I
54571,PA,North East Cogeneration Plant
54755,NC,Roanoke Valley Energy Facility II
55098,TX,Frontera Generation Facility
55422,FL,Desoto County Energy Park
55703,TN,"Valero Refining Company-Tennessee, LLC"
59073,MD,Cove Point LNG Terminal
